in s,C1 in V
-6.90720E-06,2.310E-01
-6.90680E-06,2.339E-01
-6.90640E-06,2.339E-01
-6.90600E-06,2.300E-01
-6.90560E-06,2.320E-01
-6.90520E-06,2.310E-01
-6.90480E-06,2.359E-01
-6.90440E-06,2.329E-01
-6.90400E-06,2.329E-01
-6.90360E-06,2.339E-01
-6.90320E-06,2.349E-01
-6.90280E-06,2.310E-01
-6.90240E-06,2.339E-01
-6.90200E-06,2.339E-01
-6.90160E-06,2.310E-01
-6.90120E-06,2.359E-01
-6.90080E-06,2.349E-01
-6.90040E-06,2.359E-01
-6.90000E-06,2.378E-01
-6.89960E-06,2.310E-01
-6.89920E-06,2.339E-01
-6.89880E-06,2.339E-01
-6.89840E-06,2.329E-01
-6.89800E-06,2.310E-01
-6.89760E-06,2.378E-01
-6.89720E-06,2.320E-01
-6.89680E-06,2.359E-01
-6.89640E-06,2.320E-01
-6.89600E-06,2.329E-01
-6.89560E-06,2.339E-01
-6.89520E-06,2.310E-01
-6.89480E-06,2.349E-01
-6.89440E-06,2.339E-01
-6.89400E-06,2.339E-01
-6.89360E-06,2.349E-01
-6.89320E-06,2.320E-01
-6.89280E-06,2.339E-01
-6.89240E-06,2.320E-01
-6.89200E-06,2.349E-01
-6.89160E-06,2.320E-01
-6.89120E-06,2.320E-01
-6.89080E-06,2.290E-01
-6.89040E-06,2.339E-01
-6.89000E-06,2.339E-01
-6.88960E-06,2.320E-01
-6.88920E-06,2.349E-01
-6.88880E-06,2.310E-01
-6.88840E-06,2.339E-01
-6.88800E-06,2.290E-01
-6.88760E-06,2.369E-01
-6.88720E-06,2.349E-01
-6.88680E-06,2.349E-01
-6.88640E-06,2.310E-01
-6.88600E-06,2.310E-01
-6.88560E-06,2.339E-01
-6.88520E-06,2.290E-01
-6.88480E-06,2.339E-01
-6.88440E-06,2.320E-01
-6.88400E-06,2.329E-01
-6.88360E-06,2.310E-01
-6.88320E-06,2.320E-01
-6.88280E-06,2.339E-01
-6.88240E-06,2.339E-01
-6.88200E-06,2.339E-01
-6.88160E-06,2.320E-01
-6.88120E-06,2.310E-01
-6.88080E-06,2.339E-01
-6.88040E-06,2.339E-01
-6.88000E-06,2.359E-01
-6.87960E-06,2.349E-01
-6.87920E-06,2.339E-01
-6.87880E-06,2.339E-01
-6.87840E-06,2.329E-01
-6.87800E-06,2.310E-01
-6.87760E-06,2.339E-01
-6.87720E-06,2.339E-01
-6.87680E-06,2.329E-01
-6.87640E-06,2.329E-01
-6.87600E-06,2.339E-01
-6.87560E-06,2.339E-01
-6.87520E-06,2.310E-01
-6.87480E-06,2.329E-01
-6.87440E-06,2.310E-01
-6.87400E-06,2.369E-01
-6.87360E-06,2.320E-01
-6.87320E-06,2.329E-01
-6.87280E-06,2.349E-01
-6.87240E-06,2.339E-01
-6.87200E-06,2.349E-01
-6.87160E-06,2.339E-01
-6.87120E-06,2.320E-01
-6.87080E-06,2.349E-01
-6.87040E-06,2.359E-01
-6.87000E-06,2.329E-01
-6.86960E-06,2.349E-01
-6.86920E-06,2.369E-01
-6.86880E-06,2.329E-01
-6.86840E-06,2.349E-01
-6.86800E-06,2.349E-01
-6.86760E-06,2.320E-01
-6.86720E-06,2.339E-01
-6.86680E-06,2.339E-01
-6.86640E-06,2.320E-01
-6.86600E-06,2.310E-01
-6.86560E-06,2.329E-01
-6.86520E-06,2.329E-01
-6.86480E-06,2.349E-01
-6.86440E-06,2.339E-01
-6.86400E-06,2.349E-01
-6.86360E-06,2.339E-01
-6.86320E-06,2.310E-01
-6.86280E-06,2.310E-01
-6.86240E-06,2.320E-01
-6.86200E-06,2.329E-01
-6.86160E-06,2.339E-01
-6.86120E-06,2.310E-01
-6.86080E-06,2.320E-01
-6.86040E-06,2.349E-01
-6.86000E-06,2.349E-01
-6.85960E-06,2.320E-01
-6.85920E-06,2.329E-01
-6.85880E-06,2.310E-01
