in s,C1 in V
-6.02760E-06,2.3236E-01
-6.02720E-06,2.3041E-01
-6.02680E-06,2.3041E-01
-6.02640E-06,2.3432E-01
-6.02600E-06,2.3334E-01
-6.02560E-06,2.3139E-01
-6.02520E-06,2.3529E-01
-6.02480E-06,2.3432E-01
-6.02440E-06,2.3334E-01
-6.02400E-06,2.3627E-01
-6.02360E-06,2.3432E-01
-6.02320E-06,2.3529E-01
-6.02280E-06,2.3432E-01
-6.02240E-06,2.3432E-01
-6.02200E-06,2.3432E-01
-6.02160E-06,2.3432E-01
-6.02120E-06,2.3334E-01
-6.02080E-06,2.3139E-01
-6.02040E-06,2.3041E-01
-6.02000E-06,2.3334E-01
-6.01960E-06,2.3334E-01
-6.01920E-06,2.3139E-01
-6.01880E-06,2.3432E-01
-6.01840E-06,2.3139E-01
-6.01800E-06,2.3334E-01
-6.01760E-06,2.3627E-01
-6.01720E-06,2.3432E-01
-6.01680E-06,2.3529E-01
-6.01640E-06,2.3334E-01
-6.01600E-06,2.3432E-01
-6.01560E-06,2.3432E-01
-6.01520E-06,2.3236E-01
-6.01480E-06,2.3529E-01
-6.01440E-06,2.3334E-01
-6.01400E-06,2.3432E-01
-6.01360E-06,2.3627E-01
-6.01320E-06,2.3334E-01
-6.01280E-06,2.3432E-01
-6.01240E-06,2.3334E-01
-6.01200E-06,2.3529E-01
-6.01160E-06,2.3432E-01
-6.01120E-06,2.3334E-01
-6.01080E-06,2.3529E-01
-6.01040E-06,2.3334E-01
-6.01000E-06,2.3139E-01
-6.00960E-06,2.3432E-01
-6.00920E-06,2.3139E-01
-6.00880E-06,2.3236E-01
-6.00840E-06,2.3432E-01
-6.00800E-06,2.3334E-01
-6.00760E-06,2.3432E-01
-6.00720E-06,2.3236E-01
-6.00680E-06,2.3139E-01
-6.00640E-06,2.3139E-01
-6.00600E-06,2.3529E-01
-6.00560E-06,2.3334E-01
-6.00520E-06,2.3139E-01
-6.00480E-06,2.3432E-01
-6.00440E-06,2.3725E-01
-6.00400E-06,2.3432E-01
-6.00360E-06,2.3334E-01
-6.00320E-06,2.3432E-01
-6.00280E-06,2.3432E-01
-6.00240E-06,2.3432E-01
-6.00200E-06,2.3334E-01
-6.00160E-06,2.3236E-01
-6.00120E-06,2.3432E-01
-6.00080E-06,2.3334E-01
-6.00040E-06,2.3334E-01
-6.00000E-06,2.3627E-01
-5.99960E-06,2.3432E-01
-5.99920E-06,2.3334E-01
-5.99880E-06,2.3432E-01
-5.99840E-06,2.3236E-01
-5.99800E-06,2.3529E-01
-5.99760E-06,2.3432E-01
-5.99720E-06,2.3236E-01
-5.99680E-06,2.3139E-01
-5.99640E-06,2.2943E-01
-5.99600E-06,2.3529E-01
-5.99560E-06,2.3627E-01
-5.99520E-06,2.3725E-01
-5.99480E-06,2.3041E-01
-5.99440E-06,2.3529E-01
-5.99400E-06,2.3139E-01
-5.99360E-06,2.3529E-01
-5.99320E-06,2.3627E-01
-5.99280E-06,2.3432E-01
-5.99240E-06,2.3432E-01
-5.99200E-06,2.3334E-01
-5.99160E-06,2.3041E-01
-5.99120E-06,2.3529E-01
-5.99080E-06,2.3725E-01
-5.99040E-06,2.3334E-01
-5.99000E-06,2.3432E-01
-5.98960E-06,2.3432E-01
-5.98920E-06,2.3432E-01
-5.98880E-06,2.3432E-01
-5.98840E-06,2.3432E-01
-5.98800E-06,2.2943E-01
-5.98760E-06,2.3041E-01
-5.98720E-06,2.3725E-01
-5.98680E-06,2.3627E-01
-5.98640E-06,2.3236E-01
-5.98600E-06,2.3334E-01
-5.98560E-06,2.3334E-01
-5.98520E-06,2.3236E-01
-5.98480E-06,2.3432E-01
-5.98440E-06,2.3432E-01
-5.98400E-06,2.3236E-01
-5.98360E-06,2.3627E-01
-5.98320E-06,2.3432E-01
-5.98280E-06,2.3432E-01
-5.98240E-06,2.3432E-01
-5.98200E-06,2.3236E-01
-5.98160E-06,2.3334E-01
-5.98120E-06,2.3236E-01
-5.98080E-06,2.3139E-01
-5.98040E-06,2.3920E-01
-5.98000E-06,2.3334E-01
-5.97960E-06,2.3432E-01
-5.97920E-06,2.3432E-01
-5.97880E-06,2.3334E-01
-5.97840E-06,2.3627E-01
-5.97800E-06,2.3139E-01
-5.97760E-06,2.3139E-01
-5.97720E-06,2.3432E-01
-5.97680E-06,2.3334E-01
-5.97640E-06,2.3334E-01
-5.97600E-06,2.3432E-01
-5.97560E-06,2.3432E-01
-5.97520E-06,2.3236E-01
-5.97480E-06,2.3432E-01
-5.97440E-06,2.3334E-01
-5.97400E-06,2.3432E-01
-5.97360E-06,2.3529E-01
-5.97320E-06,2.3529E-01
-5.97280E-06,2.3334E-01
-5.97240E-06,2.3236E-01
-5.97200E-06,2.3432E-01
-5.97160E-06,2.3432E-01
-5.97120E-06,2.3334E-01
-5.97080E-06,2.3432E-01
-5.97040E-06,2.3139E-01
-5.97000E-06,2.3627E-01
-5.96960E-06,2.3334E-01
-5.96920E-06,2.3139E-01
-5.96880E-06,2.3334E-01
-5.96840E-06,2.3432E-01
-5.96800E-06,2.3627E-01
-5.96760E-06,2.3529E-01
-5.96720E-06,2.3920E-01
-5.96680E-06,2.3432E-01
-5.96640E-06,2.3627E-01
-5.96600E-06,2.3139E-01
-5.96560E-06,2.3334E-01
-5.96520E-06,2.3041E-01
-5.96480E-06,2.3334E-01
-5.96440E-06,2.3139E-01
-5.96400E-06,2.3139E-01
-5.96360E-06,2.3432E-01
-5.96320E-06,2.3725E-01
-5.96280E-06,2.3432E-01
-5.96240E-06,2.3529E-01
-5.96200E-06,2.3432E-01
-5.96160E-06,2.3334E-01
-5.96120E-06,2.3334E-01
-5.96080E-06,2.3432E-01
-5.96040E-06,2.3236E-01
-5.96000E-06,2.3334E-01
-5.95960E-06,2.3529E-01
-5.95920E-06,2.3139E-01
-5.95880E-06,2.2943E-01
-5.95840E-06,2.3236E-01
-5.95800E-06,2.3627E-01
-5.95760E-06,2.3529E-01
-5.95720E-06,2.3334E-01
-5.95680E-06,2.3139E-01
-5.95640E-06,2.3334E-01
-5.95600E-06,2.3139E-01
-5.95560E-06,2.3432E-01
-5.95520E-06,2.3725E-01
-5.95480E-06,2.3529E-01
-5.95440E-06,2.3432E-01
-5.95400E-06,2.3529E-01
-5.95360E-06,2.3139E-01
-5.95320E-06,2.3236E-01
-5.95280E-06,2.3529E-01
-5.95240E-06,2.3236E-01
-5.95200E-06,2.3334E-01
-5.95160E-06,2.3236E-01
-5.95120E-06,2.3139E-01
-5.95080E-06,2.3432E-01
-5.95040E-06,2.3236E-01
-5.95000E-06,2.3041E-01
-5.94960E-06,2.3627E-01
-5.94920E-06,2.3041E-01
-5.94880E-06,2.3627E-01
-5.94840E-06,2.3432E-01
-5.94800E-06,2.3236E-01
-5.94760E-06,2.3432E-01
-5.94720E-06,2.3432E-01
-5.94680E-06,2.3236E-01
-5.94640E-06,2.3139E-01
-5.94600E-06,2.3529E-01
-5.94560E-06,2.3432E-01
-5.94520E-06,2.3432E-01
-5.94480E-06,2.3139E-01
-5.94440E-06,2.3236E-01
-5.94400E-06,2.3529E-01
-5.94360E-06,2.3432E-01
-5.94320E-06,2.3041E-01
-5.94280E-06,2.3139E-01
-5.94240E-06,2.3236E-01
-5.94200E-06,2.3627E-01
-5.94160E-06,2.3725E-01
-5.94120E-06,2.3432E-01
-5.94080E-06,2.3334E-01
-5.94040E-06,2.3236E-01
-5.94000E-06,2.3432E-01
-5.93960E-06,2.3432E-01
-5.93920E-06,2.3334E-01
-5.93880E-06,2.3041E-01
-5.93840E-06,2.3236E-01
-5.93800E-06,2.3334E-01
-5.93760E-06,2.3432E-01
-5.93720E-06,2.3432E-01
-5.93680E-06,2.3041E-01
-5.93640E-06,2.3041E-01
-5.93600E-06,2.3236E-01
-5.93560E-06,2.3725E-01
-5.93520E-06,2.3334E-01
-5.93480E-06,2.3139E-01
-5.93440E-06,2.3334E-01
-5.93400E-06,2.3041E-01
-5.93360E-06,2.3432E-01
-5.93320E-06,2.3432E-01
-5.93280E-06,2.3334E-01
-5.93240E-06,2.3529E-01
-5.93200E-06,2.3139E-01
-5.93160E-06,2.3236E-01
-5.93120E-06,2.2943E-01
-5.93080E-06,2.3041E-01
-5.93040E-06,2.3627E-01
-5.93000E-06,2.3139E-01
-5.92960E-06,2.3139E-01
-5.92920E-06,2.3432E-01
-5.92880E-06,2.3725E-01
-5.92840E-06,2.3432E-01
-5.92800E-06,2.3529E-01
-5.92760E-06,2.3041E-01
-5.92720E-06,2.3432E-01
-5.92680E-06,2.3334E-01
-5.92640E-06,2.3334E-01
-5.92600E-06,2.3236E-01
-5.92560E-06,2.3139E-01
-5.92520E-06,2.3432E-01
-5.92480E-06,2.3236E-01
-5.92440E-06,2.3432E-01
-5.92400E-06,2.3139E-01
-5.92360E-06,2.3139E-01
-5.92320E-06,2.3334E-01
-5.92280E-06,2.3627E-01
-5.92240E-06,2.3139E-01
-5.92200E-06,2.3432E-01
-5.92160E-06,2.2943E-01
-5.92120E-06,2.3139E-01
-5.92080E-06,2.3236E-01
-5.92040E-06,2.3236E-01
-5.92000E-06,2.2943E-01
-5.91960E-06,2.3236E-01
-5.91920E-06,2.3529E-01
-5.91880E-06,2.3334E-01
-5.91840E-06,2.3432E-01
-5.91800E-06,2.3432E-01
-5.91760E-06,2.3334E-01
-5.91720E-06,2.3334E-01
-5.91680E-06,2.3334E-01
-5.91640E-06,2.3432E-01
-5.91600E-06,2.3236E-01
-5.91560E-06,2.3236E-01
-5.91520E-06,2.3139E-01
-5.91480E-06,2.3139E-01
-5.91440E-06,2.3432E-01
-5.91400E-06,2.3139E-01
-5.91360E-06,2.3236E-01
-5.91320E-06,2.3041E-01
-5.91280E-06,2.3041E-01
-5.91240E-06,2.3334E-01
-5.91200E-06,2.3236E-01
-5.91160E-06,2.3236E-01
-5.91120E-06,2.3236E-01
-5.91080E-06,2.3139E-01
-5.91040E-06,2.3334E-01
-5.91000E-06,2.3139E-01
-5.90960E-06,2.3041E-01
-5.90920E-06,2.3236E-01
-5.90880E-06,2.3236E-01
-5.90840E-06,2.3236E-01
-5.90800E-06,2.3432E-01
-5.90760E-06,2.3529E-01
-5.90720E-06,2.3139E-01
-5.90680E-06,2.3432E-01
-5.90640E-06,2.3139E-01
-5.90600E-06,2.3236E-01
-5.90560E-06,2.3529E-01
-5.90520E-06,2.3432E-01
-5.90480E-06,2.3529E-01
-5.90440E-06,2.3139E-01
-5.90400E-06,2.3139E-01
-5.90360E-06,2.3334E-01
-5.90320E-06,2.3041E-01
-5.90280E-06,2.3139E-01
-5.90240E-06,2.3139E-01
-5.90200E-06,2.3236E-01
-5.90160E-06,2.3432E-01
-5.90120E-06,2.3529E-01
-5.90080E-06,2.3236E-01
-5.90040E-06,2.3334E-01
-5.90000E-06,2.2943E-01
-5.89960E-06,2.3236E-01
-5.89920E-06,2.3139E-01
-5.89880E-06,2.3236E-01
-5.89840E-06,2.3432E-01
-5.89800E-06,2.3236E-01
-5.89760E-06,2.3334E-01
-5.89720E-06,2.2943E-01
-5.89680E-06,2.3236E-01
-5.89640E-06,2.3139E-01
-5.89600E-06,2.3432E-01
-5.89560E-06,2.3334E-01
-5.89520E-06,2.3236E-01
-5.89480E-06,2.3432E-01
-5.89440E-06,2.3529E-01
-5.89400E-06,2.3529E-01
-5.89360E-06,2.2748E-01
-5.89320E-06,2.3236E-01
-5.89280E-06,2.3236E-01
-5.89240E-06,2.3432E-01
-5.89200E-06,2.3334E-01
-5.89160E-06,2.3041E-01
-5.89120E-06,2.3236E-01
-5.89080E-06,2.2846E-01
-5.89040E-06,2.3334E-01
-5.89000E-06,2.2846E-01
-5.88960E-06,2.3334E-01
-5.88920E-06,2.3334E-01
-5.88880E-06,2.3139E-01
-5.88840E-06,2.3334E-01
-5.88800E-06,2.2943E-01
-5.88760E-06,2.3236E-01
-5.88720E-06,2.3041E-01
-5.88680E-06,2.3529E-01
-5.88640E-06,2.3334E-01
-5.88600E-06,2.3334E-01
-5.88560E-06,2.3041E-01
-5.88520E-06,2.3236E-01
-5.88480E-06,2.3432E-01
-5.88440E-06,2.2943E-01
-5.88400E-06,2.3041E-01
-5.88360E-06,2.3432E-01
-5.88320E-06,2.3041E-01
-5.88280E-06,2.3432E-01
-5.88240E-06,2.3334E-01
-5.88200E-06,2.3432E-01
-5.88160E-06,2.3139E-01
-5.88120E-06,2.3041E-01
-5.88080E-06,2.3139E-01
-5.88040E-06,2.3432E-01
-5.88000E-06,2.3139E-01
-5.87960E-06,2.3139E-01
-5.87920E-06,2.3334E-01
-5.87880E-06,2.3334E-01
-5.87840E-06,2.3236E-01
-5.87800E-06,2.3139E-01
-5.87760E-06,2.3334E-01
-5.87720E-06,2.2943E-01
-5.87680E-06,2.3432E-01
-5.87640E-06,2.3334E-01
-5.87600E-06,2.3432E-01
-5.87560E-06,2.3432E-01
-5.87520E-06,2.3139E-01
-5.87480E-06,2.3139E-01
-5.87440E-06,2.3041E-01
-5.87400E-06,2.3041E-01
-5.87360E-06,2.3041E-01
-5.87320E-06,2.3334E-01
-5.87280E-06,2.3041E-01
-5.87240E-06,2.3529E-01
-5.87200E-06,2.3334E-01
-5.87160E-06,2.2943E-01
-5.87120E-06,2.3432E-01
-5.87080E-06,2.3432E-01
-5.87040E-06,2.3139E-01
-5.87000E-06,2.3236E-01
-5.86960E-06,2.3139E-01
-5.86920E-06,2.3432E-01
-5.86880E-06,2.3139E-01
-5.86840E-06,2.3432E-01
-5.86800E-06,2.3236E-01
-5.86760E-06,2.3529E-01
-5.86720E-06,2.3432E-01
-5.86680E-06,2.2943E-01
-5.86640E-06,2.3334E-01
-5.86600E-06,2.3236E-01
-5.86560E-06,2.3627E-01
-5.86520E-06,2.3432E-01
-5.86480E-06,2.3432E-01
-5.86440E-06,2.3627E-01
-5.86400E-06,2.3334E-01
-5.86360E-06,2.3529E-01
-5.86320E-06,2.3432E-01
-5.86280E-06,2.3334E-01
-5.86240E-06,2.3334E-01
-5.86200E-06,2.3139E-01
-5.86160E-06,2.3236E-01
-5.86120E-06,2.3334E-01
-5.86080E-06,2.3236E-01
-5.86040E-06,2.3432E-01
